word,count
양력,1
인기,1
한번,1
재개발,1
도시재생,1
박원순,1
시장님,1
도시재생,1
뭔가,1
경복궁,1
한복,1
새해,1
기도,1
운동,1
주년,1
광화문,1
광장,1
그라피티,1
기재부,1
직무,1
비밀,1
누설,1
신재민,1
사무관,1
검찰,1
고발,1
아베,1
레이더,1
조준,1
위험,1
행위,1
한국,1
강원,1
양양,1
산불,1
불타,1
주민,1
여명,1
대피,1
서로,1
어깨,1
새해,1
옹옹,1
비핵화,1
의지,1
언론,1
전문가,1
대화,1
의지,1
가시도,1
김정은,1
조건,1
금강산,1
관광,1
개성,1
공단,1
재개,1
용의,1
사자성어,1
금융,1
수장,1
경영,1
각오,1
법원,1
계속,1
생각,1
사직,1
의사,1
폭행,1
양진호,1
재판,1
서울,1
도시재생,1
재개발,1
장병,1
시민,1
군함,1
맞이,1
맨몸,1
마라톤,1
연탄,1
창고,1
고령자,1
대거,1
탈락,1
정규직,1
전환,1
인성,1
검사,1
트럼프,1
시진핑,1
자력,1
갱생,1
메르켈,1
책임,1
평론,1
부문,1
당선,1
순모,1
사과나무,1
아래,1
평론,1
부문,1
당선,1
소감,1
비평가,1
믿음,1
평론,1
부문,1
심사평,1
비평,1
태도,1
타협,1
자세,1
호감,1
아프리카,1
사업,1
발굴,1
상사,1
도전,1
인사,1
부고,1
산업혁명,1
병원,1
의술,1
혁신,1
선도,1
치아,1
자연,1
치유,1
균열,1
조치,1
정신질환,1
커뮤니티,1
케어,1
중요성,1
가스,1
중독,1
잠수병,1
난치병,1
치료,1
마무리,1
웰다잉,1
시민운동,1
출범,1
승산,1
종아리,1
근육,1
통증,1
경련,1
도움,1
뇌졸중,1
환자,1
발생,1
유효,1
슈팅,1
축구,1
숙제,1
투호,1
대체,1
선수,1
로드,1
대세,1
선수,1
맨유,1
차기,1
감독,1
후보,1
추가,1
연패,1
인삼공사,1
알레나,1
새해,1
새해,1
새봄,1
야구,1
국가대표,1
선수촌,1
덕목,1
히어로즈,1
출발,1
히어로즈,1
메멘토,1
모리,1
죽음,1
기억,1
하라,1
학폭법,1
역설,1
학교,1
굴뚝,1
새해,1
