word,count
서울,1
상징,1
사과나무,1
난사,1
대통령,1
동남아,1
순방,1
순방,1
기간,1
조국,1
강요,1
피해자,1
프레임,1
국정,1
농단,1
고심,1
대법,1
선고,1
신동빈,1
형량,1
영향,1
강서구,1
지체,1
장애,1
남성,1
노모,1
발견,1
경찰,1
타살,1
가능성,1
스리,1
불로,1
전북,1
선두,1
탈환,1
추석,1
연휴,1
열흘,1
벌초,1
미리,1
차례,1
조국,1
입시,1
관련,1
논란,1
확산,1
대통령,1
대입,1
제도,1
검토,1
나경원,1
광주,1
정권,1
지역,1
주의,1
조장,1
구태,1
미국,1
자극,1
일전,1
플레이,1
균열,1
불가피,1
핀란드,1
미래,1
홍콩,1
시위,1
공항,1
오성홍기,1
조국,1
논란,1
개인,1
제도,1
입시,1
정성,1
카드,1
교육부,1
사전,1
교감,1
당혹,1
시민단체,1
전반,1
교육,1
체계,1
여야,1
조국,1
청문회,1
불발,1
소명,1
임명,1
가닥,1
김광,1
조국,1
논란,1
문재인,1
정부,1
식물,1
정부,1
전락,1
위험,1
장관,1
임명,1
시점,1
재송부,1
시한,1
조국,1
수사,1
대검,1
인력,1
검찰,1
여권,1
공세,1
중동,1
조국,1
공세,1
취한,1
한국,1
지역,1
주의,1
막말,1
무리수,1
예산,1
심사,1
국회,1
시간표,1
출발,1
대표,1
손학규,1
안철수,1
유승민,1
외교부,1
방북,1
김정은,1
중국,1
가나,1
베리,1
미국,1
프린스턴대,1
교수,1
서로,1
의심,1
무기,1
안보,1
딜레마,1
조국,1
논란,1
청년,1
노동자,1
세상,1
이야기,1
미소,1
휠체어,1
마라톤,1
신동빈,1
자발,1
뇌물,1
실형,1
촉각,1
가을걷이,1
국회,1
국민연금,1
개혁,1
앞날,1
순탄,1
찮다,1
제주,1
살이,1
열풍,1
타고,1
도로,1
육지,1
살이,1
물어,1
반려견,1
이웃집,1
거실,1
공격,1
부상,1
화물차,1
흉기,1
부적절,1
운임,1
체계,1
호주,1
미국,1
네덜란드,1
화물차,1
노조,1
연구자,1
미등록,1
체류,1
통보,1
의무,1
면제,1
금지,1
작업복,1
중기,1
노동자,1
위해,1
광주,1
세탁소,1
설립,1
도서관,1
구례군,1
대구,1
주민,1
참여,1
예산,1
대전,1
엑스포,1
마스코트,1
꿈돌이,1
상품화,1
추억,1
울산,1
전기,1
공유,1
자전거,1
미국,1
텍사스,1
총기,1
난사,1
희생,1
굿모닝,1
트럼프,1
위성,1
이란,1
장관,1
트윗,1
저격,1
인도,1
아삼,1
주민,1
하루아침,1
국적,1
미군,1
시리아,1
마지막,1
반군,1
근거지,1
공습,1
알카에다,1
지도자,1
최소,1
여명,1
사망,1
청춘,1
멜로,1
영화,1
유열,1
음악앨범,1
정지우,1
감독,1
아날로그,1
시절,1
사랑,1
감성,1
올여름,1
오존,1
주의보,1
오존,1
